exclude	exclude.reason	rodent.spiecies	rodent.sub	rodent.ses	func.TR	prepro_config	analysis_config	rabies_cor	>>>>>>>>>>	QC_1	QC_2	QC_3	QC_4 bold2anat	Conclu	Comments
		Rat	400100	1	1	1	1	"--bold_only"		Ok					
		Rat	400101	1	1	1	1	"--bold_only"		Ok					
		Rat	400102	1	1	1	1	"--bold_only"		Ok					
		Rat	400103	1	1	1	1	"--bold_only"		Ok					
		Rat	400104	1	1	1	1	"--bold_only"		Ok					
		Rat	400105	1	1	1	1	"--bold_only"		Ok					
		Rat	400106	1	1	1	1	"--bold_only"		Ok					
		Rat	400107	1	1	1	1	"--bold_only"		Ok					
		Rat	400108	1	1	1	1	"--bold_only"		Ok					
		Rat	400109	1	1	1	1	"--bold_only"		Ok					
		Rat	400110	1	1	1	1	"--bold_only"		Ok					
		Rat	400111	1	1	1	1	"--bold_only"		Ok					
		Rat	400112	1	1	1	1	"--bold_only"		Ok					
		Rat	400113	1	1	1	1	"--bold_only"		Ok					
		Rat	400114	1	1	1	1	"--bold_only"		Ok					
		Rat	400115	1	1	1	1	"--bold_only"		Ok					
		Rat	400116	1	1	1	1	"--bold_only"		Ok					
		Rat	400117	1	1	1	1	"--bold_only"		Ok					
		Rat	400118	1	1	1	1	"--bold_only"		Ok					
		Rat	400119	1	1	1	1	"--bold_only"		Ok					
		Rat	400120	1	1	1	1	"--bold_only"		Ok					
		Rat	400121	1	1	1	1	"--bold_only"		Ok					
		Rat	400122	1	1	1	1	"--bold_only"		Ok					
		Rat	400123	1	1	1	1	"--bold_only"		Ok					
		Rat	400124	1	1	1	1	"--bold_only"		Ok					
		Rat	400125	1	1	1	1	"--bold_only"		Ok					
		Rat	400126	1	1	1	1	"--bold_only"		Ok					
		Rat	400127	1	1	1	1	"--bold_only"		Ok					
		Rat	400128	1	1	1	1	"--bold_only"		Ok					
		Rat	400129	1	1	1	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain	Ok				
		Rat	400130	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400131	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400132	1	1	1	1	"--bold_only"		Ok					
		Rat	400133	1	1	1	1	"--bold_only"		Ok					
		Rat	400134	1	1	1	1	"--bold_only"		Ok					
		Rat	400135	1	1	1	1	"--bold_only"		Ok					
		Rat	400136	1	1	1	1	"--bold_only"		Ok					
		Rat	400137	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400138	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400139	1	1	1	1	"--bold_only"		Ok					
		Rat	400140	1	1	1	1	"--bold_only"		Ok					
		Rat	400141	1	1	1	1	"--bold_only"		Ok					
		Rat	400142	1	1	1	1	"--bold_only"		Ok					
		Rat	400143	1	1	1	1	"--bold_only"		Ok					
		Rat	400144	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400145	1	1	1	1	"--bold_only"		Ok					
		Rat	400146	1	1	1	1	"--bold_only"		Ok					
		Rat	400147	1	1	1	1	"--bold_only"		Ok					
		Rat	400148	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400149	1	1	2	1	"--bold_only --anat_autobox --bold_autobox"		Ghost brain					
		Rat	400150	1	1	1	1	"--bold_only"		Ok					
		Rat	400151	1	1	1	1	"--bold_only"		Ok					
		Rat	400152	1	1	1	1	"--bold_only"		Ok					
		Rat	400153	1	1	1	1	"--bold_only"		Ok					
		Rat	400154	1	1	1	1	"--bold_only"		Ok					
		Rat	400155	1	1	1	1	"--bold_only"		Ok					
		Rat	400156	1	1	1	1	"--bold_only"		OK					
		Rat	400157	1	1	1	1	"--bold_only"		Ok					
		Rat	400158	1	1	1	1	"--bold_only"		Ok					
		Rat	400159	1	1	1	1	"--bold_only"		Ok					
		Rat	400160	1	1	1	1	"--bold_only"		Ok					
		Rat	400161	1	1	1	1	"--bold_only"		Ok					
		Rat	400162	1	1	1	1	"--bold_only"		Ok					
		Rat	400163	1	1	1	1	"--bold_only"		Ok					
		Rat	400164	1	1	1	1	"--bold_only"		Ok					
		Rat	400165	1	1	1	1	"--bold_only"		Ok					
		Rat	400166	1	1	1	1	"--bold_only"		Ok					
		Rat	400167	1	1	1	1	"--bold_only"		Ok					
		Rat	400168	1	1	1	1	"--bold_only"		Ok					
		Rat	400169	1	1	1	1	"--bold_only"		Ok					
		Rat	400170	1	1	1	1	"--bold_only"		Ok					
		Rat	400171	1	1	1	1	"--bold_only"		Ok					
		Rat	400172	1	1	1	1	"--bold_only"		Ok					
		Rat	400173	1	1	1	1	"--bold_only"		Ok					
		Rat	400174	1	1	1	1	"--bold_only"		Ok					
		Rat	400175	1	1	1	1	"--bold_only"		Ok					
		Rat	400176	1	1	1	1	"--bold_only"		Ok					
		Rat	400177	1	1	1	1	"--bold_only"		Ok					
		Rat	400178	1	1	1	1	"--bold_only"		Ok					
		Rat	400179	1	1	1	1	"--bold_only"		Ok					
		Rat	400180	1	1	1	1	"--bold_only"		Ok					
		Rat	400181	1	1	1	1	"--bold_only"		Ok					
		Rat	400182	1	1	1	1	"--bold_only"		Ok					
		Rat	400183	1	1	1	1	"--bold_only"		Ok					
		Rat	400184	1	1	1	1	"--bold_only"		Ok					
		Rat	400185	1	1	1	1	"--bold_only"		Ok					
		Rat	400186	1	1	1	1	"--bold_only"		Ok					
		Rat	400187	1	1	1	1	"--bold_only"		Ok					
		Rat	400188	1	1	1	1	"--bold_only"		Ok					
		Rat	400189	1	1	1	1	"--bold_only"		Ok					
		Mouse	300200	1	1	1		"--bold_only"		Error: Error on "main_wf.bold_main_wf.bold_hmc_wf.ants_MC"					
		Mouse	300201	1	1	1		"--bold_only"		Error: Error on "main_wf.bold_main_wf.bold_hmc_wf.ants_MC"					
		Mouse	300202	1	1	1		"--bold_only"							
		Mouse	300203	1	1	1		"--bold_only"							
		Mouse	300204	1	1	1		"--bold_only"							
		Mouse	300205	1	1	1		"--bold_only"							
		Mouse	300206	1	1	1		"--bold_only"							
		Mouse	300207	1	1	1		"--bold_only"							
		Mouse	300208	1	1	1		"--bold_only"							
		Mouse	300209	1	1	1		"--bold_only"							